A,B,C,D,E,F,G
A,X_10fMM,368,HXUBRLHKGOBUJKR,1164,210,LCZQWSYFTCTBQUI
E,K_12M34,758,CDSHIUCJMSVSCEJ,2973,171,WOTRJPNMGQSJCKW
K,R_NFT36,404,GUJKMIZNEXIEPZE,1365,162,KAQZSSKPPWRORYW
B,T_Fe134,650,UWIGXJDOHPGZKOC,1408,197,BNSCSXOJWAFTTVS
B,T_Fe134,368,HXUBRLHKGOBUJKR,3224,179,PKOSWZVLMXMTLZW
H,O_Um421,826,GJBZRUMIQLQFNCZ,1129,174,JIBGCETMMPEQHUC
B,T_Fe134,502,UYCUSOYWJOOGNSE,3984,181,CBKMUWJEKWNROTY
A,X_10fMM,515,JHSFUSBMABVPPJH,2883,112,INOMZYINCCISUCQ
E,K_12M34,47,GVWFISHPCDXNRVU,1520,210,LCZQWSYFTCTBQUI
E,K_12M34,810,PGYACUGIRYNMCBE,1183,198,UHNHONUHHZTFLGT
B,T_Fe134,990,JAHPMDXMTWJIEDT,1166,210,LCZQWSYFTCTBQUI
K,R_NFT36,842,GSZBCXTCEOPTAFO,1862,208,DPQLFVEHBGGKXGX
B,T_Fe134,826,GJBZRUMIQLQFNCZ,3732,121,WWICVCDUHUKZAWN
B,T_Fe134,672,LTFQSCEYRBVKUAP,3526,171,WOTRJPNMGQSJCKW
F,T_xEfV1,725,PXGPTCHULHWPELF,3995,112,INOMZYINCCISUCQ
B,T_Fe134,305,USKWCWUANJKSPOV,1642,153,OLNSTYUIIIGYSSL
K,R_NFT36,659,SDHVERSRFEVGPNA,1021,215,QWJKGTTBATEWAHN
K,R_NFT36,35,PSSVRABNAOGNKCP,1831,197,BNSCSXOJWAFTTVS
H,O_Um421,568,HFPDEYWZGYHHSJP,4164,179,PKOSWZVLMXMTLZW
D,Y_A13Fm,859,DYGGIROHJBJBGMC,3045,210,LCZQWSYFTCTBQUI
D,Y_A13Fm,502,UYCUSOYWJOOGNSE,3490,171,WOTRJPNMGQSJCKW
D,Y_A13Fm,458,DZGZSRGUYGDHDIX,1716,210,LCZQWSYFTCTBQUI
K,R_NFT36,595,TBAWQGLWABDNIIX,1553,210,LCZQWSYFTCTBQUI
A,X_10fMM,213,AZVXUIYPGMHNZXJ,2051,149,BGRMWMMUMEFOBGL
C,X_MM42e,643,HOSFKFOMXMCHXPL,1220,215,QWJKGTTBATEWAHN
F,T_xEfV1,647,PNAWBSQVYHBMFPO,3158,121,WWICVCDUHUKZAWN
D,Y_A13Fm,81,ODZTDFJYPUEVZXZ,3812,179,PKOSWZVLMXMTLZW
D,Y_A13Fm,377,UHIWXYBDZCQDMBW,1913,208,DPQLFVEHBGGKXGX
C,X_MM42e,502,UYCUSOYWJOOGNSE,3962,210,LCZQWSYFTCTBQUI
H,O_Um421,827,HBCWMFSNHTNNSOF,1211,171,WOTRJPNMGQSJCKW
E,K_12M34,712,IKOPSJGARBTCQLY,1607,149,BGRMWMMUMEFOBGL
A,X_10fMM,64,WWDVEEYMDMTQDAH,3916,174,JIBGCETMMPEQHUC
A,X_10fMM,379,TUHOMJTPLRKEYQA,4685,209,OXMMZOZDYYWVGJG
A,X_10fMM,502,UYCUSOYWJOOGNSE,2730,162,KAQZSSKPPWRORYW
E,K_12M34,697,GHVMMFKKKMDGWBO,2484,215,QWJKGTTBATEWAHN
A,X_10fMM,307,ILISBJAVSODTASL,3756,208,DPQLFVEHBGGKXGX
A,X_10fMM,458,DZGZSRGUYGDHDIX,4512,149,BGRMWMMUMEFOBGL
E,K_12M34,150,EPGRUBMPZPBYLHC,2225,215,QWJKGTTBATEWAHN
D,Y_A13Fm,384,NDGVSOYSBRMIQLD,4429,171,WOTRJPNMGQSJCKW
E,K_12M34,16,KAMABLMDNQXPNDU,3261,171,WOTRJPNMGQSJCKW
F,T_xEfV1,91,RALPDQBXBDJTNPW,4347,179,PKOSWZVLMXMTLZW
E,K_12M34,643,HOSFKFOMXMCHXPL,2384,149,BGRMWMMUMEFOBGL
H,O_Um421,163,WJEQCQKJKVCRYMJ,4143,162,KAQZSSKPPWRORYW
F,T_xEfV1,838,ZLOCESNXHIZOOUL,4004,198,UHNHONUHHZTFLGT
C,X_MM42e,473,RJWQPBLKMLUAIMZ,3572,121,WWICVCDUHUKZAWN
H,O_Um421,337,GWZQDWLWEPCDWMX,1169,181,CBKMUWJEKWNROTY
H,O_Um421,213,AZVXUIYPGMHNZXJ,2020,121,WWICVCDUHUKZAWN
E,K_12M34,859,DYGGIROHJBJBGMC,2228,210,LCZQWSYFTCTBQUI
A,X_10fMM,583,QDMHXFMKFQWMNUF,3871,112,INOMZYINCCISUCQ
K,R_NFT36,697,GHVMMFKKKMDGWBO,1204,181,CBKMUWJEKWNROTY
C,X_MM42e,142,XVRRJLDRBCRUBVU,1452,179,PKOSWZVLMXMTLZW
E,K_12M34,289,QRSBLITQOKOCXNM,4233,179,PKOSWZVLMXMTLZW
K,R_NFT36,27,FCHGPOTLBXXKTOB,3147,198,UHNHONUHHZTFLGT
D,Y_A13Fm,643,HOSFKFOMXMCHXPL,1092,149,BGRMWMMUMEFOBGL
K,R_NFT36,81,ODZTDFJYPUEVZXZ,3348,215,QWJKGTTBATEWAHN
D,Y_A13Fm,990,JAHPMDXMTWJIEDT,4089,149,BGRMWMMUMEFOBGL
F,T_xEfV1,842,GSZBCXTCEOPTAFO,2166,121,WWICVCDUHUKZAWN
C,X_MM42e,100,KHVFQKBBTJPBMQP,3112,210,LCZQWSYFTCTBQUI
K,R_NFT36,990,JAHPMDXMTWJIEDT,1640,149,BGRMWMMUMEFOBGL
G,U_oAo12,697,GHVMMFKKKMDGWBO,4542,208,DPQLFVEHBGGKXGX
C,X_MM42e,84,HLLIUTIMRUMRQDK,2221,112,INOMZYINCCISUCQ
G,U_oAo12,404,GUJKMIZNEXIEPZE,4797,210,LCZQWSYFTCTBQUI
G,U_oAo12,368,HXUBRLHKGOBUJKR,4927,112,INOMZYINCCISUCQ
E,K_12M34,431,PGRSPDOMBBGLRYP,1578,121,WWICVCDUHUKZAWN
C,X_MM42e,125,RVFYFMPWBZNWCQK,4085,215,QWJKGTTBATEWAHN
H,O_Um421,159,KBCJRMNZUDVGIQH,1998,171,WOTRJPNMGQSJCKW
F,T_xEfV1,100,KHVFQKBBTJPBMQP,1327,153,OLNSTYUIIIGYSSL
F,T_xEfV1,929,MZZSOCSUGSTUXPF,2917,174,JIBGCETMMPEQHUC
G,U_oAo12,659,SDHVERSRFEVGPNA,3281,153,OLNSTYUIIIGYSSL
G,U_oAo12,952,VURNASZCCMBGFMH,3513,162,KAQZSSKPPWRORYW
K,R_NFT36,518,FOLRHQUMXSELBYM,3395,121,WWICVCDUHUKZAWN
G,U_oAo12,758,CDSHIUCJMSVSCEJ,1508,171,WOTRJPNMGQSJCKW
C,X_MM42e,142,XVRRJLDRBCRUBVU,4245,215,QWJKGTTBATEWAHN
A,X_10fMM,81,ODZTDFJYPUEVZXZ,3049,215,QWJKGTTBATEWAHN
C,X_MM42e,550,JHDHDSBRIXPFYZF,2234,209,OXMMZOZDYYWVGJG
G,U_oAo12,385,NHYVTTIDXFYADCF,2708,197,BNSCSXOJWAFTTVS
B,T_Fe134,16,KAMABLMDNQXPNDU,4145,153,OLNSTYUIIIGYSSL
F,T_xEfV1,697,GHVMMFKKKMDGWBO,2160,171,WOTRJPNMGQSJCKW
K,R_NFT36,785,RPCNHBECGNSCRLO,2670,209,OXMMZOZDYYWVGJG
F,T_xEfV1,347,PAVNWKHMTBVVNWB,3331,171,WOTRJPNMGQSJCKW
G,U_oAo12,136,ABVXFPLEMVOTBRQ,1236,149,BGRMWMMUMEFOBGL
C,X_MM42e,16,KAMABLMDNQXPNDU,4807,149,BGRMWMMUMEFOBGL
A,X_10fMM,962,PLENQJDDYZULYKA,1951,208,DPQLFVEHBGGKXGX
H,O_Um421,49,CPIEOLOBXRARHBO,2149,162,KAQZSSKPPWRORYW
A,X_10fMM,377,UHIWXYBDZCQDMBW,3203,149,BGRMWMMUMEFOBGL
F,T_xEfV1,177,MZXEXJZPBWCTOXL,2847,208,DPQLFVEHBGGKXGX
D,Y_A13Fm,60,QEBBIPDXWRCHGSK,1310,153,OLNSTYUIIIGYSSL
H,O_Um421,150,EPGRUBMPZPBYLHC,4982,162,KAQZSSKPPWRORYW
A,X_10fMM,15,VCQKRGUMIWDESRW,2969,210,LCZQWSYFTCTBQUI
F,T_xEfV1,150,EPGRUBMPZPBYLHC,4936,121,WWICVCDUHUKZAWN
A,X_10fMM,163,WJEQCQKJKVCRYMJ,3928,208,DPQLFVEHBGGKXGX
D,Y_A13Fm,859,DYGGIROHJBJBGMC,3867,121,WWICVCDUHUKZAWN
C,X_MM42e,20,ILQLMBISHNQTVFK,4599,149,BGRMWMMUMEFOBGL
K,R_NFT36,49,CPIEOLOBXRARHBO,1861,174,JIBGCETMMPEQHUC
E,K_12M34,852,WJILXXFLHVEIIVG,1896,179,PKOSWZVLMXMTLZW
D,Y_A13Fm,699,MIYDBATFLODBRRA,2026,162,KAQZSSKPPWRORYW
H,O_Um421,889,GMPOFQSNXAFECJD,4372,171,WOTRJPNMGQSJCKW
E,K_12M34,798,USPSEOSELIAAPUD,2186,210,LCZQWSYFTCTBQUI
F,T_xEfV1,419,OHXGDSVDHPGJGAO,2574,149,BGRMWMMUMEFOBGL
C,X_MM42e,699,MIYDBATFLODBRRA,3298,179,PKOSWZVLMXMTLZW
H,O_Um421,755,XIBUOKRQGJCFFMG,3450,174,JIBGCETMMPEQHUC
F,T_xEfV1,473,RJWQPBLKMLUAIMZ,2003,174,JIBGCETMMPEQHUC
G,U_oAo12,177,MZXEXJZPBWCTOXL,2782,171,WOTRJPNMGQSJCKW
K,R_NFT36,347,PAVNWKHMTBVVNWB,1879,171,WOTRJPNMGQSJCKW
B,T_Fe134,384,NDGVSOYSBRMIQLD,3035,215,QWJKGTTBATEWAHN
C,X_MM42e,940,XQCNPCOHYWSQVFY,2005,209,OXMMZOZDYYWVGJG
F,T_xEfV1,368,HXUBRLHKGOBUJKR,2227,197,BNSCSXOJWAFTTVS
C,X_MM42e,163,WJEQCQKJKVCRYMJ,2294,210,LCZQWSYFTCTBQUI
E,K_12M34,859,DYGGIROHJBJBGMC,2871,174,JIBGCETMMPEQHUC
K,R_NFT36,138,WWWKZNUKKOCVLDA,4339,209,OXMMZOZDYYWVGJG
B,T_Fe134,136,ABVXFPLEMVOTBRQ,1440,197,BNSCSXOJWAFTTVS
H,O_Um421,289,QRSBLITQOKOCXNM,4087,198,UHNHONUHHZTFLGT
C,X_MM42e,546,AASZXWXFJTNTKNX,2887,149,BGRMWMMUMEFOBGL
A,X_10fMM,125,RVFYFMPWBZNWCQK,3415,215,QWJKGTTBATEWAHN
K,R_NFT36,659,SDHVERSRFEVGPNA,4050,153,OLNSTYUIIIGYSSL
D,Y_A13Fm,413,BYLODPSXBFMLHFU,1599,215,QWJKGTTBATEWAHN
E,K_12M34,606,RRRGXLFJSGOHCYW,3612,181,CBKMUWJEKWNROTY
H,O_Um421,822,SKVFPHPLCMNHQPE,4577,171,WOTRJPNMGQSJCKW
K,R_NFT36,502,UYCUSOYWJOOGNSE,4835,174,JIBGCETMMPEQHUC
H,O_Um421,523,MLBHTRWIKRCOCYV,4057,209,OXMMZOZDYYWVGJG
K,R_NFT36,990,JAHPMDXMTWJIEDT,4872,197,BNSCSXOJWAFTTVS
D,Y_A13Fm,54,EYDZXNGJGPZNZVI,2976,149,BGRMWMMUMEFOBGL
F,T_xEfV1,149,LFUFLBFHQUOERLG,1070,198,UHNHONUHHZTFLGT
H,O_Um421,148,NOCWJPTSKUMKXVK,4326,197,BNSCSXOJWAFTTVS
D,Y_A13Fm,149,LFUFLBFHQUOERLG,4723,171,WOTRJPNMGQSJCKW
D,Y_A13Fm,15,VCQKRGUMIWDESRW,1128,179,PKOSWZVLMXMTLZW
H,O_Um421,863,YEESBRKROXSGSQS,2219,198,UHNHONUHHZTFLGT
H,O_Um421,60,QEBBIPDXWRCHGSK,4396,181,CBKMUWJEKWNROTY
A,X_10fMM,562,VNGWSFSNSIAFCGD,1924,208,DPQLFVEHBGGKXGX
K,R_NFT36,14,OOMARJWTOWJFXLM,1272,198,UHNHONUHHZTFLGT
E,K_12M34,523,MLBHTRWIKRCOCYV,4849,209,OXMMZOZDYYWVGJG
A,X_10fMM,647,PNAWBSQVYHBMFPO,4075,112,INOMZYINCCISUCQ
D,Y_A13Fm,289,QRSBLITQOKOCXNM,2510,162,KAQZSSKPPWRORYW
C,X_MM42e,100,KHVFQKBBTJPBMQP,4670,197,BNSCSXOJWAFTTVS
A,X_10fMM,962,PLENQJDDYZULYKA,4775,149,BGRMWMMUMEFOBGL
G,U_oAo12,385,NHYVTTIDXFYADCF,2660,153,OLNSTYUIIIGYSSL
G,U_oAo12,583,QDMHXFMKFQWMNUF,1166,210,LCZQWSYFTCTBQUI
G,U_oAo12,305,USKWCWUANJKSPOV,1644,210,LCZQWSYFTCTBQUI
F,T_xEfV1,822,SKVFPHPLCMNHQPE,4358,171,WOTRJPNMGQSJCKW
G,U_oAo12,810,PGYACUGIRYNMCBE,2292,215,QWJKGTTBATEWAHN
D,Y_A13Fm,699,MIYDBATFLODBRRA,4699,121,WWICVCDUHUKZAWN
H,O_Um421,725,PXGPTCHULHWPELF,3324,209,OXMMZOZDYYWVGJG
F,T_xEfV1,419,OHXGDSVDHPGJGAO,2590,171,WOTRJPNMGQSJCKW
A,X_10fMM,697,GHVMMFKKKMDGWBO,4612,208,DPQLFVEHBGGKXGX
D,Y_A13Fm,518,FOLRHQUMXSELBYM,4171,198,UHNHONUHHZTFLGT
C,X_MM42e,81,ODZTDFJYPUEVZXZ,2842,209,OXMMZOZDYYWVGJG
C,X_MM42e,458,DZGZSRGUYGDHDIX,3398,162,KAQZSSKPPWRORYW
C,X_MM42e,148,NOCWJPTSKUMKXVK,4005,171,WOTRJPNMGQSJCKW
K,R_NFT36,562,VNGWSFSNSIAFCGD,4211,179,PKOSWZVLMXMTLZW
B,T_Fe134,755,XIBUOKRQGJCFFMG,3972,153,OLNSTYUIIIGYSSL
C,X_MM42e,148,NOCWJPTSKUMKXVK,1814,179,PKOSWZVLMXMTLZW
G,U_oAo12,491,HWIQNNMEKJRBPGP,4636,121,WWICVCDUHUKZAWN
A,X_10fMM,14,OOMARJWTOWJFXLM,2889,112,INOMZYINCCISUCQ
E,K_12M34,289,QRSBLITQOKOCXNM,3599,209,OXMMZOZDYYWVGJG
D,Y_A13Fm,643,HOSFKFOMXMCHXPL,4572,179,PKOSWZVLMXMTLZW
E,K_12M34,502,UYCUSOYWJOOGNSE,4394,210,LCZQWSYFTCTBQUI
C,X_MM42e,863,YEESBRKROXSGSQS,3812,171,WOTRJPNMGQSJCKW
B,T_Fe134,647,PNAWBSQVYHBMFPO,1039,179,PKOSWZVLMXMTLZW
G,U_oAo12,952,VURNASZCCMBGFMH,1041,174,JIBGCETMMPEQHUC
B,T_Fe134,568,HFPDEYWZGYHHSJP,2251,179,PKOSWZVLMXMTLZW
A,X_10fMM,419,OHXGDSVDHPGJGAO,2283,174,JIBGCETMMPEQHUC
C,X_MM42e,15,VCQKRGUMIWDESRW,2296,215,QWJKGTTBATEWAHN
A,X_10fMM,38,IORHSTMRDEJEBPU,3827,179,PKOSWZVLMXMTLZW
H,O_Um421,35,PSSVRABNAOGNKCP,2813,208,DPQLFVEHBGGKXGX
H,O_Um421,863,YEESBRKROXSGSQS,3721,209,OXMMZOZDYYWVGJG
E,K_12M34,38,IORHSTMRDEJEBPU,2376,162,KAQZSSKPPWRORYW
D,Y_A13Fm,16,KAMABLMDNQXPNDU,2664,215,QWJKGTTBATEWAHN
B,T_Fe134,14,OOMARJWTOWJFXLM,3944,162,KAQZSSKPPWRORYW
H,O_Um421,379,TUHOMJTPLRKEYQA,3250,153,OLNSTYUIIIGYSSL
F,T_xEfV1,289,QRSBLITQOKOCXNM,2224,179,PKOSWZVLMXMTLZW
H,O_Um421,662,ODFURYFINNMQPUJ,2076,210,LCZQWSYFTCTBQUI
F,T_xEfV1,889,GMPOFQSNXAFECJD,4995,171,WOTRJPNMGQSJCKW
C,X_MM42e,595,TBAWQGLWABDNIIX,1339,171,WOTRJPNMGQSJCKW
H,O_Um421,213,AZVXUIYPGMHNZXJ,4594,149,BGRMWMMUMEFOBGL
C,X_MM42e,952,VURNASZCCMBGFMH,3002,112,INOMZYINCCISUCQ
C,X_MM42e,550,JHDHDSBRIXPFYZF,1470,198,UHNHONUHHZTFLGT
H,O_Um421,47,GVWFISHPCDXNRVU,1251,210,LCZQWSYFTCTBQUI
H,O_Um421,929,MZZSOCSUGSTUXPF,4129,171,WOTRJPNMGQSJCKW
E,K_12M34,725,PXGPTCHULHWPELF,2825,209,OXMMZOZDYYWVGJG
B,T_Fe134,96,TDGZPEQTLFGJQCV,2134,171,WOTRJPNMGQSJCKW
K,R_NFT36,441,IYRXKIAZTRFRADI,4978,209,OXMMZOZDYYWVGJG
H,O_Um421,842,GSZBCXTCEOPTAFO,1080,153,OLNSTYUIIIGYSSL
F,T_xEfV1,852,WJILXXFLHVEIIVG,2311,174,JIBGCETMMPEQHUC
C,X_MM42e,712,IKOPSJGARBTCQLY,3299,121,WWICVCDUHUKZAWN
A,X_10fMM,491,HWIQNNMEKJRBPGP,2310,153,OLNSTYUIIIGYSSL
A,X_10fMM,413,BYLODPSXBFMLHFU,3495,162,KAQZSSKPPWRORYW
A,X_10fMM,441,IYRXKIAZTRFRADI,1759,197,BNSCSXOJWAFTTVS
D,Y_A13Fm,413,BYLODPSXBFMLHFU,1350,174,JIBGCETMMPEQHUC
B,T_Fe134,798,USPSEOSELIAAPUD,1089,179,PKOSWZVLMXMTLZW
B,T_Fe134,940,XQCNPCOHYWSQVFY,3973,181,CBKMUWJEKWNROTY
E,K_12M34,729,LJGOQBMPLTAWZHD,3828,153,OLNSTYUIIIGYSSL
F,T_xEfV1,295,EDJEGYBIQYVBXOA,1245,179,PKOSWZVLMXMTLZW
E,K_12M34,662,ODFURYFINNMQPUJ,3374,210,LCZQWSYFTCTBQUI
E,K_12M34,125,RVFYFMPWBZNWCQK,4564,179,PKOSWZVLMXMTLZW
G,U_oAo12,138,WWWKZNUKKOCVLDA,1569,197,BNSCSXOJWAFTTVS
B,T_Fe134,929,MZZSOCSUGSTUXPF,3999,209,OXMMZOZDYYWVGJG
H,O_Um421,149,LFUFLBFHQUOERLG,3518,174,JIBGCETMMPEQHUC
E,K_12M34,136,ABVXFPLEMVOTBRQ,4580,209,OXMMZOZDYYWVGJG
D,Y_A13Fm,15,VCQKRGUMIWDESRW,2993,209,OXMMZOZDYYWVGJG
A,X_10fMM,64,WWDVEEYMDMTQDAH,1632,209,OXMMZOZDYYWVGJG
H,O_Um421,515,JHSFUSBMABVPPJH,4865,121,WWICVCDUHUKZAWN
A,X_10fMM,826,GJBZRUMIQLQFNCZ,4643,179,PKOSWZVLMXMTLZW
F,T_xEfV1,562,VNGWSFSNSIAFCGD,1820,171,WOTRJPNMGQSJCKW
G,U_oAo12,929,MZZSOCSUGSTUXPF,4774,174,JIBGCETMMPEQHUC
K,R_NFT36,674,AFNIOPRUNAKVQOO,4456,208,DPQLFVEHBGGKXGX
D,Y_A13Fm,523,MLBHTRWIKRCOCYV,1705,181,CBKMUWJEKWNROTY
B,T_Fe134,518,FOLRHQUMXSELBYM,4490,121,WWICVCDUHUKZAWN
A,X_10fMM,785,RPCNHBECGNSCRLO,4173,215,QWJKGTTBATEWAHN
F,T_xEfV1,822,SKVFPHPLCMNHQPE,2769,198,UHNHONUHHZTFLGT
E,K_12M34,669,NOQPNJDENANCVAR,1244,209,OXMMZOZDYYWVGJG
G,U_oAo12,859,DYGGIROHJBJBGMC,3351,179,PKOSWZVLMXMTLZW
F,T_xEfV1,35,PSSVRABNAOGNKCP,1867,209,OXMMZOZDYYWVGJG
F,T_xEfV1,822,SKVFPHPLCMNHQPE,1399,121,WWICVCDUHUKZAWN
F,T_xEfV1,546,AASZXWXFJTNTKNX,4357,208,DPQLFVEHBGGKXGX
A,X_10fMM,838,ZLOCESNXHIZOOUL,3440,112,INOMZYINCCISUCQ
H,O_Um421,49,CPIEOLOBXRARHBO,2636,198,UHNHONUHHZTFLGT
C,X_MM42e,384,NDGVSOYSBRMIQLD,3843,208,DPQLFVEHBGGKXGX
B,T_Fe134,200,MLDOIVPFVDRVMRR,2958,198,UHNHONUHHZTFLGT
H,O_Um421,785,RPCNHBECGNSCRLO,2631,198,UHNHONUHHZTFLGT
K,R_NFT36,379,TUHOMJTPLRKEYQA,1194,149,BGRMWMMUMEFOBGL
C,X_MM42e,758,CDSHIUCJMSVSCEJ,1929,149,BGRMWMMUMEFOBGL
A,X_10fMM,662,ODFURYFINNMQPUJ,1287,198,UHNHONUHHZTFLGT
F,T_xEfV1,491,HWIQNNMEKJRBPGP,4931,208,DPQLFVEHBGGKXGX
B,T_Fe134,760,AIUYMMHXMPOYHJJ,1214,215,QWJKGTTBATEWAHN
A,X_10fMM,729,LJGOQBMPLTAWZHD,3886,181,CBKMUWJEKWNROTY
A,X_10fMM,149,LFUFLBFHQUOERLG,3295,209,OXMMZOZDYYWVGJG
H,O_Um421,546,AASZXWXFJTNTKNX,1931,121,WWICVCDUHUKZAWN
E,K_12M34,595,TBAWQGLWABDNIIX,1938,149,BGRMWMMUMEFOBGL
G,U_oAo12,136,ABVXFPLEMVOTBRQ,1391,210,LCZQWSYFTCTBQUI
D,Y_A13Fm,697,GHVMMFKKKMDGWBO,1394,171,WOTRJPNMGQSJCKW
C,X_MM42e,583,QDMHXFMKFQWMNUF,4903,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,810,PGYACUGIRYNMCBE,4560,181,CBKMUWJEKWNROTY
C,X_MM42e,148,NOCWJPTSKUMKXVK,3471,174,JIBGCETMMPEQHUC
G,U_oAo12,64,WWDVEEYMDMTQDAH,1195,112,INOMZYINCCISUCQ
C,X_MM42e,469,GCCIJFZZLUSNZKR,3229,112,INOMZYINCCISUCQ
K,R_NFT36,562,VNGWSFSNSIAFCGD,4394,210,LCZQWSYFTCTBQUI
F,T_xEfV1,49,CPIEOLOBXRARHBO,1539,208,DPQLFVEHBGGKXGX
G,U_oAo12,84,HLLIUTIMRUMRQDK,4644,208,DPQLFVEHBGGKXGX
G,U_oAo12,725,PXGPTCHULHWPELF,1529,181,CBKMUWJEKWNROTY
G,U_oAo12,606,RRRGXLFJSGOHCYW,2734,215,QWJKGTTBATEWAHN
G,U_oAo12,550,JHDHDSBRIXPFYZF,4815,112,INOMZYINCCISUCQ
C,X_MM42e,38,IORHSTMRDEJEBPU,1076,171,WOTRJPNMGQSJCKW
C,X_MM42e,647,PNAWBSQVYHBMFPO,3111,121,WWICVCDUHUKZAWN
F,T_xEfV1,125,RVFYFMPWBZNWCQK,4981,179,PKOSWZVLMXMTLZW
C,X_MM42e,159,KBCJRMNZUDVGIQH,2075,162,KAQZSSKPPWRORYW
K,R_NFT36,469,GCCIJFZZLUSNZKR,2075,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,606,RRRGXLFJSGOHCYW,4123,197,BNSCSXOJWAFTTVS
B,T_Fe134,96,TDGZPEQTLFGJQCV,2656,208,DPQLFVEHBGGKXGX
E,K_12M34,47,GVWFISHPCDXNRVU,2036,153,OLNSTYUIIIGYSSL
C,X_MM42e,669,NOQPNJDENANCVAR,1763,210,LCZQWSYFTCTBQUI
A,X_10fMM,100,KHVFQKBBTJPBMQP,2889,153,OLNSTYUIIIGYSSL
H,O_Um421,827,HBCWMFSNHTNNSOF,2927,112,INOMZYINCCISUCQ
E,K_12M34,96,TDGZPEQTLFGJQCV,2740,174,JIBGCETMMPEQHUC
E,K_12M34,100,KHVFQKBBTJPBMQP,1612,181,CBKMUWJEKWNROTY
C,X_MM42e,523,MLBHTRWIKRCOCYV,4219,181,CBKMUWJEKWNROTY
D,Y_A13Fm,650,UWIGXJDOHPGZKOC,1694,181,CBKMUWJEKWNROTY
B,T_Fe134,441,IYRXKIAZTRFRADI,4692,153,OLNSTYUIIIGYSSL
A,X_10fMM,523,MLBHTRWIKRCOCYV,1507,153,OLNSTYUIIIGYSSL
C,X_MM42e,138,WWWKZNUKKOCVLDA,1848,208,DPQLFVEHBGGKXGX
K,R_NFT36,760,AIUYMMHXMPOYHJJ,4960,209,OXMMZOZDYYWVGJG
K,R_NFT36,650,UWIGXJDOHPGZKOC,1116,197,BNSCSXOJWAFTTVS
K,R_NFT36,213,AZVXUIYPGMHNZXJ,4432,121,WWICVCDUHUKZAWN
H,O_Um421,583,QDMHXFMKFQWMNUF,2142,197,BNSCSXOJWAFTTVS
H,O_Um421,419,OHXGDSVDHPGJGAO,1346,112,INOMZYINCCISUCQ
C,X_MM42e,38,IORHSTMRDEJEBPU,3558,162,KAQZSSKPPWRORYW
D,Y_A13Fm,826,GJBZRUMIQLQFNCZ,3391,181,CBKMUWJEKWNROTY
B,T_Fe134,940,XQCNPCOHYWSQVFY,3634,208,DPQLFVEHBGGKXGX
C,X_MM42e,889,GMPOFQSNXAFECJD,1283,171,WOTRJPNMGQSJCKW
G,U_oAo12,550,JHDHDSBRIXPFYZF,3320,197,BNSCSXOJWAFTTVS
A,X_10fMM,113,JXFGSVBQNNEUMCJ,4452,208,DPQLFVEHBGGKXGX
B,T_Fe134,929,MZZSOCSUGSTUXPF,2071,197,BNSCSXOJWAFTTVS
C,X_MM42e,347,PAVNWKHMTBVVNWB,2348,215,QWJKGTTBATEWAHN
E,K_12M34,138,WWWKZNUKKOCVLDA,1133,197,BNSCSXOJWAFTTVS
D,Y_A13Fm,20,ILQLMBISHNQTVFK,3509,210,LCZQWSYFTCTBQUI
F,T_xEfV1,431,PGRSPDOMBBGLRYP,2693,121,WWICVCDUHUKZAWN
C,X_MM42e,755,XIBUOKRQGJCFFMG,2652,121,WWICVCDUHUKZAWN
D,Y_A13Fm,38,IORHSTMRDEJEBPU,4659,112,INOMZYINCCISUCQ
F,T_xEfV1,568,HFPDEYWZGYHHSJP,3768,174,JIBGCETMMPEQHUC
E,K_12M34,785,RPCNHBECGNSCRLO,1864,197,BNSCSXOJWAFTTVS
C,X_MM42e,289,QRSBLITQOKOCXNM,4109,197,BNSCSXOJWAFTTVS
G,U_oAo12,16,KAMABLMDNQXPNDU,4793,174,JIBGCETMMPEQHUC
A,X_10fMM,150,EPGRUBMPZPBYLHC,2451,197,BNSCSXOJWAFTTVS
D,Y_A13Fm,35,PSSVRABNAOGNKCP,2460,153,OLNSTYUIIIGYSSL
G,U_oAo12,810,PGYACUGIRYNMCBE,1110,209,OXMMZOZDYYWVGJG
H,O_Um421,458,DZGZSRGUYGDHDIX,4067,198,UHNHONUHHZTFLGT
B,T_Fe134,138,WWWKZNUKKOCVLDA,3695,171,WOTRJPNMGQSJCKW
A,X_10fMM,431,PGRSPDOMBBGLRYP,2658,215,QWJKGTTBATEWAHN
H,O_Um421,20,ILQLMBISHNQTVFK,2104,179,PKOSWZVLMXMTLZW
D,Y_A13Fm,674,AFNIOPRUNAKVQOO,4917,208,DPQLFVEHBGGKXGX
D,Y_A13Fm,929,MZZSOCSUGSTUXPF,1125,209,OXMMZOZDYYWVGJG
F,T_xEfV1,760,AIUYMMHXMPOYHJJ,1801,174,JIBGCETMMPEQHUC
B,T_Fe134,142,XVRRJLDRBCRUBVU,3337,174,JIBGCETMMPEQHUC
E,K_12M34,138,WWWKZNUKKOCVLDA,4511,179,PKOSWZVLMXMTLZW
F,T_xEfV1,842,GSZBCXTCEOPTAFO,4973,198,UHNHONUHHZTFLGT
B,T_Fe134,136,ABVXFPLEMVOTBRQ,2978,174,JIBGCETMMPEQHUC
